Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1637359790.444892,0,0,5.0,41.2
1637359801.1022654,0,0,5.0,39.8
1637359811.841432,0,0,5.0,32.4
1637359822.4400022,0,0,5.0,25.2
1637359833.440179,0,0,5.0,41.4
1637359845.7368426,0,0,5.0,35.4
1637359857.0493512,0,0,5.0,39.2
1637359867.8694098,0,0,5.0,43.2
1637359878.9147065,0,0,6.0,44.2
1637359889.9110394,0,0,6.0,42.8
1637359900.936145,0,0,7.0,38.6
1637359911.9454467,0,0,8.0,32.2
1637359923.1007862,0,0,8.0,30.6
1637359934.208111,0,0,7.5,28.0
1637359945.4024668,0,0,6.0,29.0
1637359956.6532204,0,0,6.0,32.2
1637359968.033067,0,0,6.0,29.0
1637359979.9238617,0,0,6.0,31.6
1637359991.5595496,0,0,6.0,31.4
1637360003.2934492,0,0,6.0,33.4
1637360014.6558821,0,0,6.0,30.8
1637360026.3052766,0,0,6.0,31.8
1637360037.900858,0,0,6.0,26.0
1637360049.460178,0,0,6.0,27.6
1637360060.8920724,0,0,5.0,32.0
1637360072.4696956,0,0,6.0,29.6
1637360084.1400669,0,0,6.0,30.4
1637360095.691325,0,0,6.0,31.8
1637360107.356613,0,0,6.0,33.6
1637360119.6688926,0,0,5.0,34.0
1637360132.4326699,0,0,5.0,30.6
1637360144.3463924,0,0,5.0,24.2
1637360156.0958087,0,0,5.5,31.0
1637360167.9578738,0,0,7.0,30.0
1637360180.0743809,0,0,6.0,32.2
1637360191.922123,0,0,7.0,33.6
1637360203.9974804,0,0,7.0,34.8
1637360216.9279559,0,0,7.0,31.4
1637360229.0738788,0,0,6.0,34.4
1637360241.7043684,0,0,6.0,24.4
1637360253.99586,0,0,7.0,30.2
1637360266.2573006,0,0,7.0,28.8
1637360278.8576338,0,0,8.0,35.6
1637360291.724068,0,0,7.0,29.4
1637360304.0957477,0,0,7.0,32.4
1637360316.4859557,0,0,7.0,27.2
1637360328.9927177,0,0,7.0,31.0
1637360341.5099795,0,0,7.0,35.0
1637360354.774623,0,0,6.0,24.4
